Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime,Industry
HYNION,NO0010920945,HYN,Euronext Growth Oslo,NOK,"0,,169","0,,225","0,,154","0,,1825",26/06/2025 16:25,CET,2075235.0,"380865,,85","0,,1825",26/06/2025,
HÖEGH AUTOLINERS,NO0011082075,HAUTO,Oslo Børs,NOK,"89,,80","90,,10","88,,00","88,,65",26/06/2025 16:29,CET,537673.0,"47778649,,60","88,,65",26/06/2025,
HØLAND OG SETSKOG,NO0010012636,HSPG,Oslo Børs,NOK,"170,,00","170,,00","170,,00","170,,00",26/06/2025 09:43,CET,60.0,"10200,,00","170,,00",26/06/2025,['Regional Banks']
ICELANDIC SALMON,NO0010724701,ISLAX,Euronext Growth Oslo,NOK,"99,,00","99,,00","98,,00","98,,00",26/06/2025 11:03,CET,300.0,"29500,,00","98,,00",26/06/2025,
IDEX BIOMETRICS,NO0013107490,IDEX,Oslo Børs,NOK,"0,,034","0,,034","0,,031","0,,0339",26/06/2025 16:25,CET,10901182.0,"357998,,95","0,,0339",26/06/2025,"['Electronic Equipment', 'Instruments']"
INDUCT,NO0010536048,INDCT,Euronext Growth Oslo,NOK,"3,,70","3,,80","3,,54","3,,80",26/06/2025 15:48,CET,25448.0,"92008,,32","3,,80",26/06/2025,
INIFY LABORATORIES,SE0017486103,INIFY,Euronext Growth Oslo,NOK,"6,,40","6,,60","6,,40","6,,60",26/06/2025 13:06,CET,1040.0,"6834,,00","6,,60",26/06/2025,
ININ GROUP,NO0010864036,ININ,Euronext Growth Oslo,NOK,"2,,45","2,,45","2,,27","2,,39",26/06/2025 16:25,CET,12380.0,"28354,,10","2,,39",26/06/2025,
INSTABANK,NO0010762792,INSTA,Euronext Growth Oslo,NOK,"2,,41","2,,45","2,,40","2,,40",26/06/2025 16:26,CET,92746.0,"224950,,21","2,,40",26/06/2025,
INTEGRATED WIND SO,NO0013461350,IWS,Oslo Børs,NOK,"43,,495","43,,495","42,,50","42,,99",26/06/2025 15:52,CET,55662.0,"2392473,,52","42,,99",26/06/2025,
INTEROIL EXPL PROD,NO0013119255,IOX,Oslo Børs,NOK,"1,,62","1,,668","1,,62","1,,62",26/06/2025 16:25,CET,43400.0,"70835,,09","1,,62",26/06/2025,"['Integrated Oil', 'Gas']"
ITERA,NO0010001118,ITERA,Oslo Børs,NOK,"9,,32","9,,32","9,,32","9,,32",26/06/2025 15:40,CET,5000.0,"46600,,00","9,,32",26/06/2025,
JINHUI SHIPP TRANS,BMG5137R1088,JIN,Oslo Børs,NOK,"5,,58","5,,66","5,,48","5,,48",26/06/2025 16:08,CET,28678.0,"159116,,18","5,,48",26/06/2025,['Marine']
JÆREN SPAREBANK,NO0010359433,JAREN,Oslo Børs,NOK,"350,,00","353,,95","350,,00","353,,95",26/06/2025 14:52,CET,118.0,"41600,,10","353,,95",26/06/2025,
KALDVIK,NO0010884794,KLDVK,Euronext Growth Oslo,NOK,"13,,40","13,,50","13,,40","13,,50",26/06/2025 16:14,CET,5174.0,"69774,,00","13,,50",26/06/2025,
KID,NO0010743545,KID,Oslo Børs,NOK,"148,,40","150,,40","147,,00","147,,20",26/06/2025 16:27,CET,39869.0,"5891516,,80","147,,20",26/06/2025,['Homefurnishing Retail']
KITRON,NO0003079709,KIT,Oslo Børs,NOK,"59,,80","61,,20","59,,60","61,,20",26/06/2025 16:29,CET,623160.0,"37904289,,60","61,,20",26/06/2025,['Electronic Manufacturing Services']
KLAVENESS COMBINAT,NO0010833262,KCC,Oslo Børs,NOK,"62,,60","62,,60","60,,30","60,,70",26/06/2025 16:25,CET,45419.0,"2770247,,40","60,,70",26/06/2025,
KMC PROPERTIES,NO0010360175,KMCP,Oslo Børs,NOK,"0,,162","0,,234","0,,16","0,,19",26/06/2025 16:29,CET,147322494.0,"29361503,,87","0,,19",26/06/2025,
KOMPLETT,NO0011016040,KOMPL,Oslo Børs,NOK,"11,,60","11,,60","11,,00","11,,25",26/06/2025 16:25,CET,78563.0,"883296,,90","11,,25",26/06/2025,
KONGSBERG AUTOMOT,NO0003033102,KOA,Oslo Børs,NOK,"1,,618","1,,65","1,,602","1,,626",26/06/2025 16:25,CET,2551753.0,"4158305,,48","1,,626",26/06/2025,"['Auto Parts', 'Equipment']"
